owner_id,owned_id,share
P013748,C007664,0.5242
C028071,C021204,0.5287
P002875,C009576,1.1500
P008753,C024019,0.5029
C034310,C004563,0.7000
P006070,C013583,0.2106
P003023,C018983,0.5367
P010539,C019191,0.2250
C007834,C001251,0.2528
P006272,C030896,0.5000
P000920,C020616,0.2610
C025687,C031454,0.4017
P000775,C003823,0.2493
P003068,C032268,0.2209
P000084,C027322,0.1745
P002841,C012559,0.2267
C027883,C015437,0.5000
C021630,C030216,0.1417
P013325,C026967,0.1198
P014167,C029272,0.4585
P011232,C001850,0.2690
P004966,C016808,0.3317
P008215,C012658,0.2197
P014966,C019025,0.4671
 C012344,C032466,0.2923
P011316,C009244,0.5400
P010866,C024113,0.5596
C015431,C003106,0.1642
C027605,C010626,0.5489
C029022,C006283,0.4362
C019436,C001445,0.8500
C016787,C023831,0.0888
P001677,C030295,0.1125
P000474,C005677,0.0832
C000598,C011600,0.7000
P012690,C030077,0.2248
P000137,C002414,0.3000
P002757,C025443,0.5718
P012433,C032711,0.6834
C003241,C028172,0.3000
C018620,C017504,0.4041
C007106,C010751,0.5580
P003062,C001582,0.3000
C022942,C008633,0.1402
P012243,C015752,0.5292
P001189,C032534,0.0476
P012322,C022027,0.0765
P010234,C009393,0.1467
P006585,C034391,0.1234
P002927,C015557,0.4336
P014086,C026309,0.6926
C022492,C031794,0.5000
P012270,C013034,0.3719
C026079,C024826,0.3000
P001650,C029492,1.0000
C014611,C005220,0.7000
P001229,C011643,0.3794
C91001277,C91001278,1.0000
 C008935,C014762,0.3854
C026724,C000158,0.3000
P000853,C007041,0.0712
C001462,C005239,0.5000
P007931,C006247,0.1947
P006649,C006941,0.3957
C024013,C025002,0.5000
P014342,C017469,1.1500
C016277,C015183,0.7000
 P005805,C028585,1.1500
P006278,C017837,0.6831
P002920,C018607,0.1223
C91000013,C91000014,1.0000
P005288,C029402,0.2955
P000322,C019528,0.2590
C020446,C004482,0.8500
C019985,C032949,0.3000
P004231,C014760,0.3450
P006024,C007607,0.2902
P007469,C021535,0.0499
P003158,C005543,0.5000
P014887,C005684,0.3079
C91001382,C91001383,1.0000
P006841,C004722,0.2411
P007019,C016358,0.5400
P013027,C029740,0.4470
P001048,C019543,0.5363
C023451,C034770,0.2444
P001940,C017930,0.1042
P003656,C034757,0.8050
P002130,C016472,0.1500
P001061,C024693,0.3963
C011093,C031142,0.7000
P004457,C033805,0.1620
P001008,C005782,0.4072
P012361,C015443,0.0562
P012109,C010908,0.1953
C009608,C010546,0.5000
P004537,C031591,0.0468
P009517,C012246,0.6920
C017502,C029412,0.1693
C019391,C008843,0.2262
C014571,C014571,0.1556
P002533,C010427,0.1167
P004083,C031104,0.2276
P003739,C000506,0.3240
C007621,C027467,0.4220
C024922,C030181,0.7000
C016403,C031115,0.3000
P014976,C011011,0.4001
P005694,C000017,0.6188
P013212,C003161,0.3488
P008256,C011224,0.6588
C026466,C016762,0.5000
C033113,C020635,0.1034
P002710,C018570,0.0621
P013272,C020447,0.1129
C017607,C023390,0.0894
C004726,C029724,0.7000
P013681,C021409,0.5750
P013209,C027879,0.2004
C016041,C001092,0.1287
P010811,C026331,0.0751
 C006203,C004282,0.3000
 C024028,C008968,0.3757
P007254,C014954,0.3000
C012794,C011273,0.3000
C005601,C005319,0.1579
P010918,C010058,0.9300
C016498,C029785,0.4068
P014643,C024053,0.0857
P013112,C000824,0.5400
P012263,C002895,0.6834
P002876,C030435,0.1849
P007132,C005739 ,0.3786
C001358,C027241,0.7000
C007346,C015469,0.3000
P003915,C026426,0.0743
P005448,C012442 ,0.1006
P014450,C027567,0.0321
C027650,C025802,0.5000
P010351,C030370,0.0930
C007141,C020880,0.3000
C033678,C027506,0.5000
P005037,C024394,0.9300
P008913,C032637,0.2849
C011879,C005018,0.5149
P007918,C026854,0.4673
P006785,C016311,0.5750
C008678,C019760,0.7000
P014328,C013855,0.2250
P010394,C031650,0.3203
C027845,C000021,0.8500
P011661,C008882,0.5000
C015259,C008424,0.8500
P012475,C007418,0.8700
P002966,C004155,0.5000
P014350,C017600,0.0848
P002873,C010975,1.1500
C008711,C013038,0.3971
P000596,C018397,0.0845
P010830,C003949,0.2409
C008812,C019495,0.3000
P011075,C000822,0.1225
P011686,C000193,0.5000
C016597,C033935,0.3623
C004322,C012071,0.4882
P012105,C022916,0.1125
P013188,C023076,1.0000
P000497,C030134,0.2068
C009297,C027211,0.3612
P005124,C020829,0.0512
P011838,C031239,0.5377
P006907,C002473,0.1978
P012201,C029985,0.6806
P001938,C030935,0.1939
P011796,C011195,0.5000
P006347,C007888,0.5104
C91000620,C91000621,1.0000
P005421,C027748,0.3050
P001257,C006640,0.1532
C014000,C016875,0.2194
C020042,C021859,0.8500
P007501,C011697,0.0637
P002500,C023234,0.3982
P002728,C028924,0.4650
P012662,C009574,0.2788
